symbol,sector,industry,price
ANR,Health Technology,Biotechnology,
KMB,Consumer Non-Durables,Household/Personal Care,
ADC,Finance,Real Estate Investment Trusts,
RENX,Technology Services,Packaged Software,
MCEP,Energy Minerals,Oil & Gas Production,
BSRR,Finance,Regional Banks,
THS,Consumer Non-Durables,Food: Major Diversified,
JNPR,Technology Services,Information Technology Services,
FOXA,Consumer Services,Broadcasting,
IART,Health Technology,Medical Specialties,
MXE,Miscellaneous,Investment Trusts/Mutual Funds,
DSM,Miscellaneous,Investment Trusts/Mutual Funds,
MGRC,Finance,Finance/Rental/Leasing,
ERF,Energy Minerals,Oil & Gas Production,
DPZ,Consumer Services,Restaurants,
CFMS,Health Technology,Medical Specialties,
BWP,Finance,Real Estate Investment Trusts,
CLW,Process Industries,Pulp & Paper,
AMSF,Finance,Life/Health Insurance,
CATM,Commercial Services,Miscellaneous Commercial Services,
WCN,Industrial Services,Environmental Services,
WSM,Retail Trade,Specialty Stores,
PFIS,Finance,Regional Banks,
SFLY,Commercial Services,Miscellaneous Commercial Services,
TEF,Communications,Specialty Telecommunications,
INFY,Technology Services,Information Technology Services,
ALSN,Producer Manufacturing,Trucks/Construction/Farm Machinery,
TYL,Technology Services,Data Processing Services,
JOF,Miscellaneous,Investment Trusts/Mutual Funds,
VGI,Miscellaneous,Investment Trusts/Mutual Funds,
FFNW,Finance,Savings Banks,
VLT,Miscellaneous,Investment Trusts/Mutual Funds,
GDF,Finance,Real Estate Development,
UN,Consumer Non-Durables,Household/Personal Care,
VLRS,Transportation,Airlines,
JCP,Retail Trade,Department Stores,
NIM,Miscellaneous,Investment Trusts/Mutual Funds,
ARL,Finance,Real Estate Development,
TD,Finance,Major Banks,
ARAY,Health Technology,Medical Specialties,
SAFT,Finance,Property/Casualty Insurance,
HSBC,Finance,Major Banks,
TU,Communications,Major Telecommunications,
TGH,Finance,Finance/Rental/Leasing,
SYNT,Technology Services,Data Processing Services,
TOWN,Finance,Regional Banks,
BFAM,Commercial Services,Miscellaneous Commercial Services,
CVG,Finance,Investment Managers,
CSOD,Technology Services,Packaged Software,
GCAP,Finance,Investment Banks/Brokers,
TREX,Non-Energy Minerals,Forest Products,
TG,Producer Manufacturing,Miscellaneous Manufacturing,
CEVA,Electronic Technology,Semiconductors,
STWD,Finance,Real Estate Investment Trusts,
EV,Finance,Investment Managers,
EIG,Finance,Life/Health Insurance,
ESGR,Finance,Insurance Brokers/Services,
MMT,Miscellaneous,Investment Trusts/Mutual Funds,
TDJ,Communications,Wireless Telecommunications,
GWB,Finance,Regional Banks,
TMST,Non-Energy Minerals,Steel,
DUK,Utilities,Electric Utilities,
HYI,Miscellaneous,Investment Trusts/Mutual Funds,
SBRA,Finance,Real Estate Investment Trusts,
LOR,Consumer Non-Durables,Household/Personal Care,
PSX,Energy Minerals,Oil Refining/Marketing,
AFGH,Finance,Property/Casualty Insurance,
